Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,0.298648,-0.149284,-0.160296,-0.294017,-0.037426,-0.31361,-0.28454,-0.61678,-0.00704094,0.0752709,0.242357,0.0275758,-0.0164322,0.129091,0.202244,0.0982657,0.0996118,0.00620341,0.16815,0.0397631
1_Japan,J13,0.31085,-0.145446,0.0547083,0.138429,-0.0887408,0.235972,-0.382851,-0.125385,-0.08187,0.099732,0.0353797,-0.00996247,0.0788662,-0.239235,-0.408769,-0.107353,-0.208873,0.0783268,-0.515136,-0.0748862
1_Japan,J15,0.32039,-0.133274,0.0567713,0.23871,0.0155233,-0.242402,-0.102279,0.426305,0.0731539,-0.18475,0.0715495,0.293622,-0.0794258,0.54079,0.153541,-0.0314514,0.0882377,-0.0693116,-0.229519,0.0517777
1_Japan,J17,0.288663,-0.124056,-0.0838985,-0.17868,0.141519,0.413107,0.628752,-0.145484,-0.026974,0.226092,-0.126844,0.0321216,0.191807,0.216762,0.123492,0.0295739,-0.0413201,-0.00955797,-0.160402,0.103615
1_Japan,J19,0.243534,0.444731,0.634007,-0.00639508,-0.00981762,-0.32728,0.28829,-0.151278,0.0853825,-0.126494,0.000585694,-0.113588,-0.0688304,-0.121366,-0.0695101,-0.041976,-0.134603,0.0386519,-0.0291579,0.0426005
1_Japan,J3,0.233362,0.160707,0.261497,0.206783,-0.0738438,0.516721,-0.25979,0.0360713,-0.243398,0.0595519,-0.124473,-0.00537981,-0.201917,-0.019896,0.209676,0.103745,0.276221,-0.0705747,0.39368,-0.0695175
1_Japan,J5,0.285335,-0.14863,-0.23212,-0.154347,0.0137714,-0.187147,-0.087084,0.228563,0.0458868,-0.255071,-0.633012,-0.213453,0.108204,-0.249846,0.0737062,0.107671,-0.191268,0.0468589,0.182426,0.0513539
1_Japan,J9,0.273815,-0.161908,-0.160051,0.00434646,0.0300396,-0.074892,0.234181,0.34504,0.159835,0.170781,0.472923,-0.00933403,-0.0236051,-0.335969,-0.252312,-0.135507,0.11841,-0.0482506,0.343538,-0.16272
3_Indonesia,N1,-0.200472,-0.186743,0.173551,-0.0788707,-0.0806031,0.0421024,0.00709582,0.104399,-0.138841,-0.103901,0.25799,-0.00356631,0.0945297,-0.122495,0.276668,0.415151,-0.408056,-0.332949,-0.041346,-0.27001
3_Indonesia,N2,-0.192945,-0.356961,-0.0111412,0.250238,-0.105426,-0.0339676,0.207263,-0.292702,-0.0391385,-0.150539,-0.205384,0.011329,-0.416155,0.0775789,-0.200032,-0.279106,-0.00176678,-0.278724,0.113802,-0.0466178
