"","CHROM","BIN_START","N_SNPS","TajimaD","uniqseq","Pop","NUM"
"378","TRINITY_DN14997_c0_g1_i1 "," 0",0,NA,"TRINITY_DN14997_c0_g1_i1 - 0","Japan",1
"18","TRINITY_DN20701_c0_g1_i1","0",1,-1.16221,"TRINITY_DN20701_c0_g1_i1 - 0","Japan",2
"382","TRINITY_DN22229_c0_g1_i1 "," 0",0,NA,"TRINITY_DN22229_c0_g1_i1 - 0","Japan",3
"33","TRINITY_DN24358_c0_g1_i1","0",1,1.03439,"TRINITY_DN24358_c0_g1_i1 - 0","Japan",4
"55","TRINITY_DN28343_c0_g1_i1","0",3,1.26946,"TRINITY_DN28343_c0_g1_i1 - 0","Japan",5
"413","TRINITY_DN33929_c0_g3_i1 "," 0",0,NA,"TRINITY_DN33929_c0_g3_i1 - 0","Japan",6
"126","TRINITY_DN34728_c1_g1_i1","0",1,-1.16221,"TRINITY_DN34728_c1_g1_i1 - 0","Japan",7
"423","TRINITY_DN35673_c1_g2_i2 "," 0",0,NA,"TRINITY_DN35673_c1_g2_i2 - 0","Japan",8
"146","TRINITY_DN35709_c0_g2_i1","0",2,0.519243,"TRINITY_DN35709_c0_g2_i1 - 0","Japan",9
"424","TRINITY_DN35710_c0_g1_i1 "," 0",0,NA,"TRINITY_DN35710_c0_g1_i1 - 0","Japan",10
"175","TRINITY_DN36584_c0_g1_i1","0",4,0.829291,"TRINITY_DN36584_c0_g1_i1 - 0","Japan",11
"180","TRINITY_DN36805_c1_g1_i1","0",3,1.10913,"TRINITY_DN36805_c1_g1_i1 - 0","Japan",12
"190","TRINITY_DN37204_c0_g1_i1","0",2,0.0945699,"TRINITY_DN37204_c0_g1_i1 - 0","Japan",13
"440","TRINITY_DN37469_c0_g3_i1 "," 0",0,NA,"TRINITY_DN37469_c0_g3_i1 - 0","Japan",14
"444","TRINITY_DN37870_c0_g1_i1 "," 0",0,NA,"TRINITY_DN37870_c0_g1_i1 - 0","Japan",15
"452","TRINITY_DN38348_c0_g1_i1 "," 0",0,NA,"TRINITY_DN38348_c0_g1_i1 - 0","Japan",16
"453","TRINITY_DN38348_c0_g2_i1 "," 0",0,NA,"TRINITY_DN38348_c0_g2_i1 - 0","Japan",17
"242","TRINITY_DN38750_c0_g1_i1","0",3,-0.814758,"TRINITY_DN38750_c0_g1_i1 - 0","Japan",18
"250","TRINITY_DN39050_c0_g3_i1","0",3,0.173909,"TRINITY_DN39050_c0_g3_i1 - 0","Japan",19
"461","TRINITY_DN39216_c0_g1_i1 "," 0",0,NA,"TRINITY_DN39216_c0_g1_i1 - 0","Japan",20
"313","TRINITY_DN40393_c0_g2_i1","0",1,-1.16221,"TRINITY_DN40393_c0_g2_i1 - 0","Japan",21
"317","TRINITY_DN40479_c0_g2_i1","0",4,-0.0790584,"TRINITY_DN40479_c0_g2_i1 - 0","Japan",22
"327","TRINITY_DN4487_c0_g2_i1","0",1,-1.16221,"TRINITY_DN4487_c0_g2_i1 - 0","Japan",23
"345","TRINITY_DN58176_c0_g1_i1","0",2,0.943917,"TRINITY_DN58176_c0_g1_i1 - 0","Japan",24
"5","TRINITY_DN14997_c0_g1_i1","0",3,-1.44071,"TRINITY_DN14997_c0_g1_i1 - 0","Philippines",1
"181","TRINITY_DN20701_c0_g1_i1","0",2,0.457275,"TRINITY_DN20701_c0_g1_i1 - 0","Philippines",2
"26","TRINITY_DN22229_c0_g1_i1","0",2,0.172703,"TRINITY_DN22229_c0_g1_i1 - 0","Philippines",3
"32","TRINITY_DN24358_c0_g1_i1","0",1,-0.59155,"TRINITY_DN24358_c0_g1_i1 - 0","Philippines",4
"57","TRINITY_DN28343_c0_g1_i1","0",1,1.02588,"TRINITY_DN28343_c0_g1_i1 - 0","Philippines",5
"130","TRINITY_DN33929_c0_g3_i1","0",1,-1.16439,"TRINITY_DN33929_c0_g3_i1 - 0","Philippines",6
"1461","TRINITY_DN34728_c1_g1_i1","0",1,-1.16439,"TRINITY_DN34728_c1_g1_i1 - 0","Philippines",7
"4611","TRINITY_DN35673_c1_g2_i2 "," 0",0,NA,"TRINITY_DN35673_c1_g2_i2 - 0","Philippines",8
"167","TRINITY_DN35709_c0_g2_i1","0",2,-0.286989,"TRINITY_DN35709_c0_g2_i1 - 0","Philippines",9
"168","TRINITY_DN35710_c0_g1_i1","0",1,0.351953,"TRINITY_DN35710_c0_g1_i1 - 0","Philippines",10
"201","TRINITY_DN36584_c0_g1_i1","0",2,1.24532,"TRINITY_DN36584_c0_g1_i1 - 0","Philippines",11
"207","TRINITY_DN36805_c1_g1_i1","0",4,1.28082,"TRINITY_DN36805_c1_g1_i1 - 0","Philippines",12
"218","TRINITY_DN37204_c0_g1_i1","0",2,1.59556,"TRINITY_DN37204_c0_g1_i1 - 0","Philippines",13
"237","TRINITY_DN37469_c0_g3_i1","0",4,0.213234,"TRINITY_DN37469_c0_g3_i1 - 0","Philippines",14
"247","TRINITY_DN37870_c0_g1_i1","0",1,1.43024,"TRINITY_DN37870_c0_g1_i1 - 0","Philippines",15
"266","TRINITY_DN38348_c0_g1_i1","0",1,-1.16439,"TRINITY_DN38348_c0_g1_i1 - 0","Philippines",16
"267","TRINITY_DN38348_c0_g2_i1","0",1,1.43024,"TRINITY_DN38348_c0_g2_i1 - 0","Philippines",17
"281","TRINITY_DN38750_c0_g1_i1","0",4,-0.827322,"TRINITY_DN38750_c0_g1_i1 - 0","Philippines",18
"291","TRINITY_DN39050_c0_g3_i1","0",11,-1.16859,"TRINITY_DN39050_c0_g3_i1 - 0","Philippines",19
"300","TRINITY_DN39216_c0_g1_i1","0",1,-1.16439,"TRINITY_DN39216_c0_g1_i1 - 0","Philippines",20
"490","TRINITY_DN40393_c0_g2_i1 "," 0",0,NA,"TRINITY_DN40393_c0_g2_i1 - 0","Philippines",21
"364","TRINITY_DN40479_c0_g2_i1","0",6,1.71247,"TRINITY_DN40479_c0_g2_i1 - 0","Philippines",22
"381","TRINITY_DN4487_c0_g2_i1","0",1,1.02588,"TRINITY_DN4487_c0_g2_i1 - 0","Philippines",23
"402","TRINITY_DN58176_c0_g1_i1","0",2,-1.51284,"TRINITY_DN58176_c0_g1_i1 - 0","Philippines",24
"51","TRINITY_DN14997_c0_g1_i1","0",1,-1.15524,"TRINITY_DN14997_c0_g1_i1 - 0","Indonesia",1
"182","TRINITY_DN20701_c0_g1_i1","0",3,-0.315432,"TRINITY_DN20701_c0_g1_i1 - 0","Indonesia",2
"27","TRINITY_DN22229_c0_g1_i1","0",2,0.320977,"TRINITY_DN22229_c0_g1_i1 - 0","Indonesia",3
